OBJECTID,AllBridges_2014April_BDEPT,AllBridges_2014April_BIN,AllBridges_2014April_Health_Index,AllBridges_2014April_Item_6A,AllBridges_2014April_Item_7,AllBridges_2014April_Item_8_Bridge_Cat,AllBridges_2014April_Item_8_Owner,AllBridges_2014April_Item_16A,AllBridges_2014April_Item_16B,AllBridges_2014April_Item_16C,AllBridges_2014April_Item__17A,AllBridges_2014April_Item__17B,AllBridges_2014April_Item__17C,AllBridges_2014April_Item_26,AllBridges_2014April_Item_28A,AllBridges_2014April_Item_29,AllBridges_2014April_Item_49,AllBridges_2014April_Item_52,AllBridges_2014April_Item_58,AllBridges_2014April_Item_104,AllBridges_2014April_Posting_2_Axle,AllBridges_2014April_Posting_3_Axle,AllBridges_2014April_Posting_5_Axle,AllBridges_2014April_Struct_Def,AllBridges_2014April_Town_Name,AllBridges_2014April_RPA
126,B16384,2CQ,0.9926,WATER LITTLE MYSTIC CHAN,HWY   CHELSEA ST,NBI,MUN,42,22,48.6084,71,3,6.5267,16,2,4800,116.7,12.6,7,True,0,0,0,False,Boston,MAPC
127,R01004,AAY,0.7294,HWY   CANTON ST,ST 24 NB,NBI,DOT,42,11,8.3147,71,4,35.2488,12,3,69200,20.1,18.3,5,True,0,0,0,False,Randolph,MAPC
128,R01004,343,0.7042,HWY   CANTON ST,ST 24 SB,NBI,DOT,42,11,7.8576,71,4,36.1451,12,3,69200,20.1,18.3,5,True,0,0,0,False,Randolph,MAPC
129,A10021,2DM,0.6578,HWY   LAKE ST,ST  2,NBI,DOT,42,24,9.5688,71,9,22.8491,12,8,78000,52.7,42.7,7,True,20,25,38,False,Arlington,MAPC
130,A10012,2DN,0.7389,ST  2,ST 60 PLEASANT ST,NBI,DOT,42,24,20.7036,71,9,50.0112,14,4,24000,58.5,28.3,7,True,0,0,0,False,Arlington,MAPC
131,A10023,2DP,0.7211,HWY   DOW AVE,ST  2,NBI,DOT,42,24,55.3787,71,11,39.3611,12,8,67100,26.2,42.7,6,True,0,0,0,False,Arlington,MAPC
132,A10025,2DQ,0.6469,WATER ALEWIFE BROOK,ST  2 EB RAMP,NBI,DOT,42,23,50.75,71,8,36.63,14,2,7700,16.5,12.2,5,True,0,0,0,False,Arlington,MAPC
133,C19020,2DR,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,DOT,42,27,29.0376,71,22,52.9356,14,4,46500,22.6,23.5,6,True,0,0,0,False,Concord,MAPC
134,C19021,2DT,0.6608,WATER SUDBURY RIVER,ST  2 CONCORD TPK,NBI,DOT,42,27,6.2712,71,22,18.1848,14,4,44110,26.8,20.1,N,True,0,0,0,True,Concord,MAPC
135,C19022,2DU,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,NBI,DOT,42,26,43.41,71,21,2.52,14,4,57000,21,23.6,6,True,0,0,0,False,Concord,MAPC
136,C19007,2DV,0.6839,WATER ASSABET RIVER,ST  2 ELM ST,NBI,DOT,42,27,56.6388,71,23,28.4639,14,4,46900,23.2,19.8,N,True,0,0,0,False,Concord,MAPC
137,L10019,2DW,0.5653,HWY   PLEASANT ST,ST  2 WB,NBI,DOT,42,25,6.4596,71,12,53.514,12,3,69400,50,20.3,6,True,0,0,0,False,Lexington,MAPC
138,L10019,2DX,0.5813,HWY   PLEASANT ST,ST  2 EB,NBI,DOT,42,25,5.6927,71,12,55.1051,12,3,69400,50,20.3,7,True,0,0,0,False,Lexington,MAPC
139,L10018,2DY,0.7717,HWY   WALTHAM ST,ST  2 EB,NBI,DOT,42,25,18.5,71,13,54.25,12,3,80000,43.9,21.4,7,True,0,0,0,False,Lexington,MAPC
140,L10018,2E0,0.8141,HWY   WALTHAM ST,ST  2 WB,NBI,DOT,42,25,17.5548,71,13,54.3612,12,3,80000,43.9,21.4,7,True,0,0,0,False,Lexington,MAPC
141,L10009,2E1,0.6519,I  95 /ST128,ST  2 WB,NBI,DOT,42,25,41.9843,71,15,30.9635,12,3,39400,99.7,18.3,4,True,0,0,0,True,Lexington,MAPC
142,L10009,2E2,0.7248,I  95 /ST128,ST  2 EB,NBI,DOT,42,25,40.368,71,15,30.672,12,3,45800,99.7,18.3,5,True,0,0,0,False,Lexington,MAPC
143,W04032,2E3,0.7107,I  95 /ST128,US 20 WB/WESTON ST,NBI,DOT,42,22,21.072,71,16,7.7916,14,2,31600,74.7,14.1,5,True,0,0,0,False,Waltham,MAPC
144,W04033,2E4,0.631,I  95 /ST128,US 20 EB/WESTON ST,NBI,DOT,42,22,12.2268,71,16,9.5303,14,2,29250,75.6,15.3,5,True,0,0,0,False,Waltham,MAPC
145,W10005,2E5,0.8593,RR    BMRR (ABANDONED),US 20 MAIN ST,NBI,DOT,42,22,12.0324,71,11,34.3355,14,2,25000,17.1,18.7,6,True,0,0,0,False,Watertown,MAPC
146,W29011,2E6,0.7715,RR    MBTA/BMRR,US 20 EB,NBI,DOT,42,22,9.2568,71,16,16.1903,14,1,23000,42.7,11.1,6,True,0,0,0,False,Weston,MAPC
147,W29028,2E7,0.7262,RR    MBTA/BMRR,US 20 WB,NBI,DOT,42,22,10.4412,71,16,16.8671,14,1,22500,12.2,11.7,6,True,0,0,0,False,Weston,MAPC
148,W38034,2E8,0.6773,I  93,ST125 BALLRDVLE ST,NBI,DOT,42,35,2.75,71,9,27.75,14,2,29200,97.5,15.2,5,True,0,0,0,False,Wilmington,MAPC
149,W13014,2E9,1,ST  9 WORCESTER ST,ST 16 WASHNGTON ST,NBI,DOT,42,18,51.1092,71,16,20.3051,14,3,32200,45.7,18.6,7,True,0,0,0,False,Wellesley,MAPC
150,N12004,2EB,0.3416,WATER CHARLES RIVER,ST  9 BOYLSTON ST,NBI,DOT,42,19,0.8616,71,13,40.9835,19,6,76300,23.2,49.1,N,True,0,0,0,False,Newton,MAPC
151,N12052,2EC,0.3331,HWY   HAMMOND POND PKWY,ST  9 BOYLSTON ST,NBI,DOT,42,19,16.4387,71,10,20.7371,14,4,50000,39.6,17.7,N,True,0,0,0,False,Newton,MAPC
152,N12051,2ED,0.7533,HWY   CENTRE ST,ST  9 BOYLSTON ST,NBI,DOT,42,19,9.8508,71,12,25.0091,14,4,54200,29,18.9,5,True,0,0,0,False,Newton,MAPC
153,N12040,2EE,0.6525,TR    GREEN LINE D,ST  9 BOYLSTON ST,NBI,DOT,42,19,9.7788,71,12,30.9384,14,4,106000,17.1,27.4,5,True,0,0,0,False,Newton,MAPC
154,N12049,2EF,0.3321,HWY   CHESTNUT ST,ST  9 BOYLSTON ST,NBI,DOT,42,19,1.47,71,13,32.8115,14,4,59200,17.7,17.7,N,True,0,0,0,False,Newton,MAPC
155,N12048,2EG,0.335,HWY   QUINOBEQUIN RD,ST  9 BOYLSTON ST,NBI,DOT,42,19,1.1531,71,13,36.8687,14,4,57200,18,17.7,N,True,0,0,0,False,Newton,MAPC
156,N12005,2EH,0.6647,WATER HEMLOCK GORGE,ST  9 BOYLSTON ST,NBI,DOT,42,19,0.6275,71,13,40.9619,14,6,86400,7,56.6,N,True,0,0,0,False,Newton,MAPC
157,W13016,2EJ,0.9707,HWY   CLIFF RD,ST  9 WORCESTER ST,NBI,DOT,42,18,42.9624,71,16,37.4735,14,4,53600,15.2,23.8,N,True,0,0,0,False,Wellesley,MAPC
158,W13013,2EK,0.6655,HWY   WESTON RD,ST  9 WORCESTER ST,NBI,DOT,42,18,19.3464,71,18,45.8892,16,4,66900,15.2,28.9,N,True,0,0,0,False,Wellesley,MAPC
159,B29007,2EP,0.9371,HWY   MIDDLESEX TPK,I  95 NB/ST128 NB,NBI,DOT,42,28,39.93,71,12,54.29,12,6,91591,49.2,29.9,5,True,0,0,0,False,Burlington,MAPC
160,B29007,2EQ,0.9353,HWY   MIDDLESEX TPK,I  95 SB/ST128 SB,NBI,DOT,42,28,40.74,71,12,54.79,11,6,91000,49.2,29.9,5,True,0,0,0,False,Burlington,MAPC
161,B29009,2ER,0.5582,HWY   S BEDFORD ST,I  95 NB/ST128 NB,NBI,DOT,42,29,6.75,71,11,46.25,11,4,159900,40.5,20.9,5,True,0,0,0,False,Burlington,MAPC
162,B29009,2ET,0.653,HWY   S BEDFORD ST,I  95 SB/ST128 SB,NBI,DOT,42,29,7.5,71,11,47,11,4,159900,40.5,21.5,5,True,0,0,0,False,Burlington,MAPC
163,B29010,2EU,0.5927,ST  3 A/CAMBRIDGE ST,I  95 NB/ST128 NB,NBI,DOT,42,29,18.75,71,11,29.5,11,4,159900,62.5,22.6,5,True,0,0,0,False,Burlington,MAPC
164,B29010,2EV,0.7178,ST  3 A/CAMBRIDGE ST,I  95 SB/ST128 SB,NBI,DOT,42,29,19.5,71,11,30.2,12,4,159900,62.5,22.6,5,True,0,0,0,False,Burlington,MAPC
165,B29011,2EW,0.6703,HWY   WINN ST,I  95 NB/ST128 NB,NBI,DOT,42,29,44.76,71,10,41.08,16,4,159900,18.3,24.7,N,True,0,0,0,False,Burlington,MAPC
166,B29011,2EX,0.6636,HWY   WINN ST,I  95 SB/ST128 SB,NBI,DOT,42,29,45.36,71,10,41.56,16,4,159900,18.3,24.7,N,True,0,0,0,False,Burlington,MAPC
167,L10011,2EY,0.5668,HWY   LINCOLN ST,I  95 /ST128,NBI,DOT,42,26,8.502,71,15,34.9308,11,8,154500,41.8,43,5,True,0,0,0,False,Lexington,MAPC
168,R03008,2F0,0.7425,ST 28 MAIN ST,I  95 /ST128,NBI,DOT,42,30,12.92,71,6,9.23,12,8,154000,28,46.4,5,True,0,0,0,False,Reading,MAPC
169,W04029,2F1,0.695,WATER STONY BROOK,I  95 /ST128,NBI,DOT,42,21,46.7676,71,16,13.7603,11,8,172230,8.8,43.3,N,True,0,0,0,False,Waltham,MAPC
170,W04026,2F2,0.9512,RR    MBTA/BMRR,I  95 /ST128,NBI,DOT,42,22,2.25,71,16,11.1,12,9,172000,69.2,45.5,4,True,0,0,0,True,Waltham,MAPC
171,W29024,2F3,0.912,OTHER MDC AQUEDUCT,I  95 /ST128,NBI,DOT,42,20,31.0632,71,15,47.1852,11,8,169500,12.5,47.5,7,True,0,0,0,False,Weston,MAPC
172,W29018,2F4,0.6477,HWY   NORUMBEGA RD,I  95 /ST128,NBI,DOT,42,20,46.4316,71,15,44.4419,12,9,170000,16.2,38.1,6,True,0,0,0,False,Weston,MAPC
173,W43031,2F6,0.6838,ST 38 WB/MAIN ST,I  95 NB/ST128 NB,NBI,DOT,42,29,57.9659,71,9,22.356,11,4,164000,21.6,20.9,N,True,0,0,0,False,Woburn,MAPC
174,W43031,2F7,0.9997,ST 38 WB/MAIN ST,I  95 SB/ST128 SB,NBI,DOT,42,29,58.74,71,9,22.5683,11,4,160000,21.6,20.9,N,True,0,0,0,False,Woburn,MAPC
175,W43022,2F8,0.7087,ST 38 EB/MAIN ST,I  95 NB/ST128 NB,NBI,DOT,42,29,57.0659,71,9,29.1636,11,4,165200,37.5,26.8,5,True,0,0,0,False,Woburn,MAPC
176,W43022,2F9,0.7199,ST 38 EB/MAIN ST,I  95 SB/ST128 SB,NBI,DOT,42,29,57.8867,71,9,29.1347,11,4,164000,37.5,20.7,5,True,0,0,0,False,Woburn,MAPC
177,W43024,2FA,0.8172,HWY   FOREST PARK RD,I  95 NB/ST128 NB,NBI,DOT,42,30,1.5515,71,8,54.7512,11,4,177500,41.1,20.9,6,True,0,0,0,False,Woburn,MAPC
178,W43024,2FB,0.6857,HWY   FOREST PARK RD,I  95 SB/ST128 SB,NBI,DOT,42,30,2.3651,71,8,55.0968,11,4,177500,41.1,20.9,6,True,0,0,0,False,Woburn,MAPC
179,W43026,2FC,0.514,RR    MBTA/BMRR,I  95 /ST128,NBI,DOT,42,30,7.6103,71,8,11.5007,11,8,160200,37.8,44.9,5,True,0,0,0,False,Woburn,MAPC
180,L19011,2FD,0.9803,HWY   MAIN ST,I  95 /ST128,NBI,DOT,42,31,33.6036,71,3,58.0896,11,8,126000,15.2,54.4,N,True,0,0,0,False,Lynnfield,MAPC
181,W01013,2FE,0.8169,RR    BMRR/MBTA,I  95 /ST128,NBI,DOT,42,31,21.9324,71,3,30.6504,11,6,134400,7.3,47.7,N,True,0,0,0,False,Wakefield,MAPC
182,W01020,2FF,0.7349,HWY   PARKER RD,I  95 /ST128,NBI,DOT,42,30,38.1059,71,5,33.4139,11,6,133500,18,45.1,5,True,0,0,0,False,Wakefield,MAPC
183,W01019,2FG,0.9697,RR    MBTA/BMRR,I  95 /ST128,NBI,DOT,42,30,52.0271,71,5,25.9224,16,6,138400,19.8,46.1,5,True,0,0,0,False,Wakefield,MAPC
184,W01018,2FH,0.901,HWY   NORTH AVE,I  95 /ST128,NBI,DOT,42,31,0.2855,71,5,22.4448,11,6,138400,22.3,45.1,6,True,0,0,0,False,Wakefield,MAPC
185,W01008,2FJ,0.971,HWY   PLEASURE ISLAND RD,I  95 /ST128,NBI,DOT,42,30,47.16,71,2,28.8708,11,6,135000,15.8,34.1,N,True,0,0,0,False,Wakefield,MAPC
186,W01016,2FK,0.776,ST129 EB LOWELL ST,I  95 /ST128,NBI,DOT,42,31,32.1671,71,4,46.1387,11,8,131600,22.6,46.9,5,True,0,0,0,False,Wakefield,MAPC
187,W01015,2FL,0.7593,ST129 WB  MAIN ST,I  95 /ST128,NBI,DOT,42,31,32.1671,71,4,46.1387,11,6,131600,20.4,46.9,5,True,0,0,0,False,Wakefield,MAPC
188,N12059,2FM,0.845,HWY   QUINOBEQUIN RD,I  95 ST128,NBI,DOT,42,19,32.5668,71,15,0.18,11,10,160000,29,44.6,5,True,0,0,0,False,Newton,MAPC
189,N12054,2FN,0.7957,WATER CHARLES RIVER,I  95 /ST128,NBI,DOT,42,19,25.1723,71,14,57.282,11,8,173000,55.8,45.4,6,True,0,0,0,False,Newton,MAPC
190,N12063,2FP,0.7144,WATER CHARLES RIVER,I  95 /ST128,NBI,DOT,42,20,12.5987,71,15,31.0788,11,8,160000,38.1,44.5,6,True,0,0,0,True,Newton,MAPC
191,W13023,2FQ,0.9414,ST  9 WORCESTER ST,I  95 NB/ST128 NB,NBI,DOT,42,19,0.1848,71,14,1.6259,11,5,87200,43.9,22.4,4,True,0,0,0,True,Wellesley,MAPC
192,B29006,2G2,0.6763,I  95 /ST128 & CD,US  3 SB,NBI,DOT,42,28,35.2884,71,13,12.7091,12,2,42500,86.6,13.9,6,True,0,0,0,False,Burlington,MAPC
193,B29006,2G3,0.7348,I  95 /ST128 & CD,US  3 NB,NBI,DOT,42,28,35.6448,71,13,11.1071,12,1,42500,86.6,13.9,7,True,0,0,0,False,Burlington,MAPC
194,C19018,2GR,0.7201,WATER NASHOBA BROOK,ST  2,NBI,DOT,42,28,8.6159,71,24,23.7492,14,4,48500,8.5,30.5,7,True,20,23,40,False,Concord,MAPC
195,Q01049,2GT,0.7741,RR    CSX SPUR TO LEDGER,ST  3 RPS CC&C&X&Y,NBI,DOT,42,13,52.4639,71,0,41.0759,14,8,24500,22.6,59.4,7,True,0,0,0,False,Quincy,MAPC
196,Q01051,2GU,0.922,OTHER RELIEF,ST  3 RAMP Y @ T,NBI,DOT,42,13,56,71,0,37,14,2,7100,150.3,9.5,7,True,0,0,0,False,Quincy,MAPC
197,Q01051,2GV,0.6762,HWY   RAMPS C & CC,ST  3 RAMP X @ T,NBI,DOT,42,13,56,71,0,37,14,1,5000,194.5,7.7,5,True,0,0,0,False,Quincy,MAPC
198,M12035,2HH,0.9998,ST 28 FELLSWAY WST,I  93 NB,NBI,DOT,42,26,52.7819,71,6,16.7903,11,5,169000,27.1,25.1,6,True,0,0,0,False,Medford,MAPC
199,M12035,2HJ,0.7446,ST 28 FELLSWAY WST,I  93 SB,NBI,DOT,42,26,53.6459,71,6,17.6976,11,5,169000,27.1,25,6,True,0,0,0,False,Medford,MAPC
200,R03011,2HK,0.5661,I  95 /ST128,I  93,NBI,DOT,42,30,8,71,7,8,11,8,169800,75.6,52.5,5,True,0,0,0,False,Reading,MAPC
201,R03010,2HL,0.728,HWY   WEST ST,I  93,NBI,DOT,42,30,32.4108,71,7,24.8052,11,8,157000,48.2,47.2,7,True,0,0,0,False,Reading,MAPC
202,S27004,2HM,0.6237,RR    BMRR SPUR (ABAND),I  93,NBI,DOT,42,28,43.08,71,6,50.3,11,8,171000,9.4,49.7,5,True,0,0,0,False,Stoneham,MAPC
203,S27007,2HN,0.8946,HWY   BORDER RD ACCESS,I  93,NBI,DOT,42,28,9.6599,71,6,26.5284,11,8,183780,39,50.6,5,True,0,0,0,False,Stoneham,MAPC
204,W38028,2HR,0.4584,RR    MBTA/BMRR,I  93 NB,NBI,DOT,42,32,28.2659,71,8,5.3592,11,5,67100,29,22.6,5,True,0,0,0,False,Wilmington,MAPC
205,W38028,2HT,0.4676,RR    MBTA/BMRR,I  93 SB,NBI,DOT,42,32,29.9399,71,8,6.8459,11,4,67100,28,22.6,5,True,0,0,0,False,Wilmington,MAPC
206,W38026,2HU,0.6458,WATER IPSWICH RIVER,I  93 NB,NBI,DOT,42,33,9.7812,71,8,15.4032,11,4,142000,12.5,24.4,5,True,0,0,0,False,Wilmington,MAPC
207,W38026,2HV,0.6713,WATER IPSWICH RIVER,I  93 SB,NBI,DOT,42,33,9.9216,71,8,16.5624,11,4,142000,12.5,24.4,6,True,0,0,0,False,Wilmington,MAPC
208,W38031,2HW,0.8674,HWY   CONCORD ST,I  93,NBI,DOT,42,33,30.15,71,8,26.6,11,8,151000,44.8,52.5,5,True,0,0,0,False,Wilmington,MAPC
209,W38036,2HX,0.6482,RR    MBTA/BMRR,I  93 SB,NBI,DOT,42,35,32.7083,71,9,59.2235,11,4,73300,23.2,21.1,5,True,0,0,0,False,Wilmington,MAPC
210,W38037,2HY,0.6992,RR    MBTA/BMRR,I  93 NB,NBI,DOT,42,35,36.7188,71,9,58.3739,11,4,73300,21.3,21.1,6,True,0,0,0,False,Wilmington,MAPC
211,W43039,2J0,0.8515,RR    BMRR SPUR (ABAND),I  93 NB OFF RMP,NBI,DOT,42,28,43.61,71,6,48.58,12,2,20500,8.7,18.3,5,True,0,0,0,False,Woburn,MAPC
212,W43037,2J1,0.5953,RR    BMRR SPUR (ABAND),I  93,NBI,DOT,42,28,43.43,71,6,50.57,11,8,168300,10.8,48.6,6,True,0,0,0,False,Woburn,MAPC
213,W43040,2J2,0.6321,RR    BMRR SPUR (ABAND),I  93 SB ON RAMP,NBI,DOT,42,28,43.05,71,6,51.75,12,1,14500,10.8,9.8,5,True,0,0,0,False,Woburn,MAPC
214,W43036,2J3,0.6892,HWY   MONTVALE AVE,I  93,NBI,DOT,42,28,47.9783,71,6,53.7515,12,8,170000,54.9,51.6,6,True,0,0,0,False,Woburn,MAPC
215,Q01046,2J8,0.8439,ST 28 RANDOLPH RD,I  93 SB/US1SB,NBI,DOT,42,12,21.1176,71,3,55.656,12,5,104000,52.7,22,6,True,0,0,0,False,Quincy,MAPC
216,L10010,2JX,0.7069,I  95 /ST128,ST  2 A/MARRETT RD,NBI,DOT,42,26,35.394,71,15,26.298,16,4,22400,81.4,26.8,4,True,0,0,0,True,Lexington,MAPC
217,W29015,2K0,0.8723,I  95 /ST128,ST 30 SOUTH AVE,NBI,DOT,42,20,37.7808,71,15,47.1852,14,4,44900,82.3,26.5,5,True,0,0,0,False,Weston,MAPC
218,N12010,2K1,0.7066,WATER CHARLES  RIVER,ST 30 SOUTH AVE,NBI,DOT,42,20,38.5079,71,15,40.8707,14,4,32600,42.1,28.3,5,True,0,0,0,False,Newton,MAPC
219,L10020,2KA,0.6859,ST  2,HWY   WATERTOWN ST,NBI,DOT,42,25,3.036,71,12,17.4563,16,2,13700,64.6,16.3,5,True,0,0,0,False,Lexington,MAPC
220,L10014,2KB,0.6728,I  95 /ST128,ST  4 BEDFORD ST,NBI,DOT,42,28,13.2852,71,14,42.162,14,4,51200,71,27,5,True,0,0,0,False,Lexington,MAPC
221,W43041,2KH,0.759,WATER ABERJONA RIVER,HWY   MONTVALE AVE,NBI,DOT,42,28,46.75,71,7,4.92,12,4,13700,8.5,23.9,7,True,0,0,0,False,Woburn,MAPC
222,C19004,2KJ,0.4568,WATER SUDBURY RIVER,ST 62 /ST2A/MAIN,NBI,DOT,42,27,28.9296,71,21,58.248,14,2,17715,21.9,9.9,N,True,7,11,17,False,Concord,MAPC
223,C19010,2KK,0.8614,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,27,22.8996,71,23,23.6399,14,2,13900,17.4,10.9,N,True,0,0,0,False,Concord,MAPC
224,C19009,2KL,0.682,WATER POWER CANAL,ST 62 MAIN ST,NBI,DOT,42,27,10.2,71,24,33.45,14,2,14350,7,18.8,N,True,0,0,0,False,Concord,MAPC
225,C19009,2KM,0.9906,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,27,10.1807,71,24,33.4115,14,2,27600,26.5,12.3,7,True,0,0,0,False,Concord,MAPC
226,C19008,2KN,0.9374,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,26,31.4339,71,25,34.9104,14,2,13900,24.4,15,5,True,0,0,0,False,Concord,MAPC
227,R03002,2KU,0.8332,RR    MBTA/BMRR,ST129 LOWELL ST,NBI,DOT,42,32,10.2227,71,7,49.5623,14,2,28448,36.6,16.2,5,True,0,0,0,False,Reading,MAPC
228,W38029,2KV,0.7096,I  93,ST129 LOWELL ST,NBI,DOT,42,32,14.5,71,8,6.5,14,2,26000,79.2,16.4,4,True,18,23,38,True,Wilmington,MAPC
229,B16177,2KY,1,WATER CHARLES RIVER,ST109 SPRING ST,NBI,DOT,42,16,15.0779,71,10,24.0203,14,3,37600,38.1,17.5,N,True,0,0,0,False,Boston,MAPC
230,N18008,2L0,0.8401,WATER IPSWICH RIVER,ST 28 MAIN ST,NBI,DOT,42,33,52.32,71,6,28,14,4,27900,18.6,20.1,5,True,0,0,0,False,North Reading,MAPC
231,N18010,2L1,0.6758,WATER MARTINS BROOK,ST 28 MAIN ST,NBI,DOT,42,34,29.85,71,6,38.45,14,4,29600,6.4,20.1,7,True,0,0,0,False,North Reading,MAPC
232,S27006,2L2,0.7521,I  93,ST 28 FELLSWAY W,NBI,DOT,42,27,33.5052,71,6,7.5779,16,2,19500,124.1,15.8,5,True,0,0,0,True,Stoneham,MAPC
233,B16276,2L3,0.8701,WATER FORT POINT CHANNEL,HWY   W FOURTH ST,NBI,DOT,42,20,33.4319,71,3,39.7547,14,4,18600,12.5,19.5,N,True,0,0,0,False,Boston,MAPC
234,W10003,2L8,0.6497,WATER CHARLES RIVER,ST 16 GALEN ST,NBI,DOT,42,21,53.3987,71,11,8.3399,14,5,43700,27.4,24.7,N,True,0,0,0,False,Watertown,MAPC
235,N12007,2L9,0.6605,WATER CHARLES RIVER,ST 16 WASHNGTON ST,NBI,DOT,42,19,31.0691,71,15,30.6144,14,4,26400,43,19.5,N,True,0,0,0,False,Newton,MAPC
236,N12055,2LA,0.5627,I  95 /ST128,ST 16 WASHNGTON ST,NBI,DOT,42,19,41.8764,71,15,6.6707,14,5,67400,72.8,27.1,8,True,0,0,0,False,Newton,MAPC
237,N12058,2LH,1,WATER CHARLES RIVER,ST128 SERVICE RD,NBI,DOT,42,20,12.0876,71,15,31.2335,11,3,44900,62.8,30.7,8,True,0,0,0,False,Newton,MAPC
238,W29032,2MA,0.9815,OTHER MDC AQUEDUCT,I  90 EB OFF RAMP,NBI,DOT,42,20,31.9272,71,15,44.172,11,2,25100,8.5,41.5,5,True,0,0,0,False,Weston,MAPC
239,N12056,2MG,0.7299,I  95 /ST128,HWY   GROVE ST,NBI,DOT,42,19,57.396,71,15,19.242,16,2,12400,71,17.7,7,True,0,0,0,False,Newton,MAPC
240,B07004,2MP,0.648,RR    MBTA/BMRR,HWY   TRAPELO RD,634,DOT,42,23,15.864,71,11,25.8467,14,4,17400,21,23.2,5,True,0,0,0,False,Belmont,MAPC
241,L12002,2N2,0.6812,RR    MBTA/BMRR,ST126 CONCORD RD,634,DOT,42,25,41.5,71,20,10.75,14,2,6900,54.6,12.1,4,True,0,0,0,True,Lincoln,MAPC
242,W04015,2NH,0.7677,RR    MBTA/BMRR,US 20 MAIN ST,634,DOT,42,22,40.2924,71,13,25.1256,14,4,27600,71.3,25.9,5,True,0,0,0,False,Waltham,MAPC
243,W38002,2NQ,0.6037,RR    MBTA/BMRR,ST 38 MAIN ST,634,DOT,42,32,4.2324,71,9,33.9624,14,2,24600,29.6,13.7,5,True,16,18,25,True,Wilmington,MAPC
244,W43002,2P0,0.9791,RR    MBTA/BMRR,HWY   MONTVALE AVE,634,DOT,42,28,49.26,71,7,36.4907,14,2,31030,19.5,16.7,7,True,0,0,0,False,Woburn,MAPC
245,W13006,2P3,0.923,RR    CSX/MBTA,ST  9 WORCESTER ST,634,DOT,42,18,44.0748,71,16,34.6547,14,4,55200,28.3,23.8,8,True,0,0,0,False,Wellesley,MAPC
246,S01017,32V,0.6704,RR    MBTA (MAIN LINE),ST107 BRIDGE ST,634,DOT,42,31,27.4259,70,53,55.2515,14,2,17500,11,36.1,N,True,0,0,0,False,Salem,MAPC
247,I01002,2PQ,0.7554,WATER IPSWICH RIVER,ST  1 A/S MAIN ST,NBI,MUN,42,40,46.1208,70,50,13.6175,14,2,26800,21.9,11.2,N,True,0,0,0,False,Ipswich,MAPC
248,D03017,2T2,0.662,ST114 ANDOVER ST,US  1 NB/NEWBRY ST,NBI,DOT,42,33,38.7611,70,58,38.5752,14,2,32600,24.4,14.8,5,True,0,0,0,False,Danvers,MAPC
249,D03017,2T3,0.6723,ST114 ANDOVER ST,US  1 SB/NEWBRY ST,NBI,DOT,42,33,39.1428,70,58,39.27,14,2,32600,24.4,14.8,5,True,0,0,0,False,Danvers,MAPC
250,D03016,2T6,1,ST 62 MAPLE ST,US  1 NB/NEWBRY ST,NBI,DOT,42,35,2.2235,70,58,1.8264,14,2,31000,29.9,15.4,8,True,0,0,0,False,Danvers,MAPC
251,D03016,2T7,1,ST 62 MAPLE ST,US  1 SB/NEWBRY ST,NBI,DOT,42,35,2.6519,70,58,2.5967,14,2,29900,29.9,15.4,8,True,0,0,0,False,Danvers,MAPC
252,D03034,2T8,0.7632,I  95,US  1 NB/NEWBRY ST,NBI,DOT,42,35,32.62,70,57,41.92,14,2,72740,101.8,12.8,6,True,0,0,0,False,Danvers,MAPC
253,D03035,2T9,0.7863,I  95,US  1 SB/NEWBRY ST,NBI,DOT,42,35,45.13,70,57,48.79,14,2,72740,76.2,12.8,6,True,0,0,0,False,Danvers,MAPC
254,P03001,2TF,1,HWY   LOWELL ST,US  1 NB/NEWBURY,NBI,DOT,42,32,53.754,70,58,59.3543,14,2,45700,21.72,18.26,7,True,0,0,0,False,Peabody,MAPC
255,P03001,2TG,1,HWY   LOWELL ST,US  1 SB/NEWBURY,NBI,DOT,42,32,54.168,70,58,59.9051,14,2,43200,21.72,18.26,8,True,0,0,0,False,Peabody,MAPC
256,T06006,2TJ,0.6714,HWY   HOWLETT ST,US  1 BOSTON ST,NBI,DOT,42,38,33.7452,70,56,19.6728,14,2,16800,6.7,10.5,5,True,0,0,0,False,Topsfield,MAPC
257,L19006,2TK,0.9901,I  95 /ST128,US  1 NEWBRPRT TPK,NBI,DOT,42,30,59.4576,71,0,5.652,14,8,100000,81.7,41.5,4,True,0,0,0,True,Lynnfield,MAPC
258,S05001,2TL,0.6507,WATER SAUGUS RIVER,US  1 BROADWAY,NBI,DOT,42,28,57.2952,71,1,12.594,14,8,84000,7.9,40.5,6,True,0,0,0,False,Saugus,MAPC
259,I01010,2TR,0.8285,WATER MILES RIVER,ST  1 A/COUNTY RD,NBI,DOT,42,39,29.6459,70,50,35.8835,14,2,14870,16.8,16.6,6,True,0,0,0,False,Ipswich,MAPC
